"species_name","body_size","abdomen_length","hindwing","coloration_male","coloration_class","exuvia_length_min","exuvia_body_length","exuvia_caudal_lamellae_min","habitat","percher_flier","main_flight_period","sti","sti_sd","voltinism","overwintering_stage","oviposition_mode","larval_strategy","bern_convention","habitats_directive","endemic_europe","endemic_eu27","near_endemic_europe","redlist_2024_category","redlist_2024_criteria","eu27_redlist_2024_category","eu27_redlist_2024_criteria","population_trend","eoo_europe","aoo_europe","eoo_eu27","aoo_eu27"
"Macromia amphigena","NA","NA","NA","Dijkstra et al. 2020","expert opinion De  Knijf","NA","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","literature information NA, but most likely same as Macromia splendens","literature information NA, but most likely same as Macromia splendens","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Macromia splendens","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Nehalennia speciosa","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Onychogomphus cazuma","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","Lopez-Estrada et al. 2020; De Knijf et al. 2024","Lopez-Estrada et al. 2020","Lopez-Estrada et al. 2020","NA","NA","Diaz pers. comm.","Diaz pers. comm.","Lopez-Estrada et al. 2020; Diaz pers. comm.","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Onychogomphus costae","Dijkstra et al. 2020","Dijkstra et al. 2020; Suhling & Müller 1996","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","literature information NA, but most likely same as other Onychogomphus species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Onychogomphus forcipatus","Dijkstra et al. 2020","Dijkstra et al. 2020; Suhling & Müller 1996","Dijkstra et al. 2020; Suhling & Müller 1996","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Onychogomphus uncatus","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020; Suhling & Müller 1996","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Ophiogomphus cecilia","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum albistylum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum brunneum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum cancellatum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum chrysostigma","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum coerulescens","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum nitidinerve","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as Orthetrum brunneum in the Mediterranean","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum ransonnetii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","not relevant","not relevant","Boudot et al. 2021; De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","literature information NA, but most likely same as other Orthetrum species","literature information NA, but most likely same as other Orthetrum species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum sabina","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum taeniolatum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Orthetrum trinacria","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Oxygastra curtisii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Pantala flavescens","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","NA","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Paragomphus genei","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Platycnemis acutipennis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Platycnemis latipes","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Platycnemis pennipes","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Platycnemis subdilatata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as congeners P. latipes and P. acutipennis","literature information NA, but most likely same as congeners P. latipes and P. acutipennis","literature information NA, but most likely same as congeners P. latipes and P. acutipennis","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Pyrrhosoma elisabethae","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Pyrrhosoma nymphula","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Selysiothemis nigra","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","NA","NA","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Somatochlora alpestris","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Somatochlora arctica","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
